codigo_ocorrencia;codigo_ocorrencia2;ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;total_recomendacoes
50809;50809;ACIDENTE;RIO;DE;RJ;BRASIL;SBRJ;NÃO
51267;51267;INCIDENTE;RIO;BRANCO;BRASIL;SBRB;18/02/2014;NULL
50810;50810;ACIDENTE;UIRAMUTÃ;RR;SJLO;19/02/2014;17:35:00;0
50952;50952;ACIDENTE;ARAGUAÍNA;TO;SWGN;19/02/2014;19:21:00;0
51012;51012;ACIDENTE;ALTO;PARAGUAI;BRASIL;****;19/02/2014;NULL
51268;51268;INCIDENTE;UBERLÂNDIA;MG;SBUL;19/02/2014;22:20:00;0
52876;52876;ACIDENTE;RONDONÓPOLIS;MT;****;19/02/2014;11:00:00;0
51017;51017;INCIDENTE;UBERLÂNDIA;MG;SBUL;20/02/2014;20:16:00;0
51269;51269;INCIDENTE;BELO;HORIZONTE;BRASIL;SBBH;20/02/2014;NULL
51016;51016;INCIDENTE;***;SOROCABA;BRASIL;SDCO;21/02/2014;NULL
50991;50991;ACIDENTE;COTRIGUAÇU;MT;****;24/02/2014;09:00:00;NÃO
50812;50812;ACIDENTE;NOVA;RAMADA;BRASIL;****;25/02/2014;2014-10-08
50983;50983;ACIDENTE;ARAGUAÍNA;TO;****;26/02/2014;11:15:00;0
51433;51433;ACIDENTE;AMERICANA;SP;SDAI;26/02/2014;15:30:00;0
50975;50975;ACIDENTE;URUÇUÍ;PI;****;27/02/2014;20:30:00;0
51020;51020;INCIDENTE;***;RIO;JANEIRO;RJ;BRASIL;IG-045/CENIPA/2014
50976;50976;ACIDENTE;ATIBAIA;SP;SDVH;02/03/2014;16:20:00;0
50977;50977;ACIDENTE;CAROLINA;MA;****;03/03/2014;11:26:00;0
51021;51021;INCIDENTE;***;SANTO;RS;BRASIL;****;SIM
51434;51434;ACIDENTE;JOÃO;MONLEVADE;BRASIL;****;04/03/2014;NULL
50916;50916;INCIDENTE;-67.4866666667;RIO;AC;BRASIL;****;SIM
51078;51078;INCIDENTE;RIO;DE;RJ;BRASIL;SBGL;NÃO
50978;50978;ACIDENTE;ARIPUANÃ;MT;****;09/03/2014;13:40:00;0
51022;51022;INCIDENTE;-49.9269444444;MARÍLIA;BRASIL;****;09/03/2014;2014-10-14
51285;51285;INCIDENTE;RIBEIRÃO;PRETO;BRASIL;****;09/03/2014;NULL
51435;51435;ACIDENTE;ITABAIANA;SE;****;09/03/2014;19:45:00;0
51023;51023;INCIDENTE;-49.9672222222;CHAVES;BRASIL;SNXW;10/03/2014;2014-10-14
51302;51302;INCIDENTE;SALVADOR;BA;****;10/03/2014;22:13:00;0
50979;50979;ACIDENTE;SANTA;ROSA;PURUS;AC;BRASIL;A-052/CENIPA/2014
50980;50980;ACIDENTE;CONCEIÇÃO;DO;PA;BRASIL;****;SIM
51304;51304;INCIDENTE;UBATUBA;SP;****;11/03/2014;18:50:00;0
51307;51307;INCIDENTE;CAMPINAS;SP;SBKP;13/03/2014;21:57:00;0
50981;50981;ACIDENTE;URUÇUÍ;PI;****;14/03/2014;20:30:00;0
